id,name,district_code,abbr,latitude,longitude,pinyin
845,射阳,320924,SY,33.774960,120.258148,sheyang
846,靖江,321282,JJ,32.014938,120.274544,jingjiang
847,泗洪,321324,SH,33.459000,118.216240,sihong
848,阜宁,320923,FN,33.759312,119.802582,funing
849,泗阳,321323,SY,33.721008,118.703346,siyang
850,姜堰,321204,JY,32.508820,120.127007,jiangyan
851,建湖,320925,JH,33.464062,119.798576,jianhu
852,溧阳,320481,LY,31.415859,119.484596,liyang
853,涟水,320826,LS,33.780979,119.260887,lianshui
854,高邮,321084,GY,32.781120,119.455582,gaoyou
855,大丰,320982,DF,33.201069,120.501022,dafeng
856,宝应,321023,BY,33.241421,119.358414,baoying
857,灌云,320723,GY,34.284069,119.240959,guanyun
858,句容,321183,JR,31.944820,119.168640,jurong
859,盱眙,320830,XY,33.010891,118.544991,xuyi
860,金坛,320482,JT,31.723221,119.597939,jintan
861,灌南,320724,GN,34.086731,119.315628,guannan
862,仪征,321081,YZ,32.272030,119.184441,yizheng
863,响水,320921,XS,34.199188,119.578392,xiangshui
864,高淳,320118,GC,31.327511,118.892097,gaochun
865,溧水,320117,LS,31.381029,118.969948,lishui
866,扬中,321182,YZ,32.237019,119.796822,yangzhong
867,金湖,320831,JH,33.023590,119.020432,jinhu
868,新建,360122,XJ,28.333691,115.651123,xinjian
869,广丰,361122,GF,28.436310,118.191330,guangfeng
870,鄱阳,361128,PY,29.005630,116.703430,poyang
871,丰城,360981,FC,28.159201,115.771210,fengcheng
872,南康,360703,NK,25.661440,114.765350,nankang
873,乐平,360281,LP,28.961729,117.128998,leping
874,高安,360983,GA,28.417290,115.375618,gaoan
875,余干,361127,YG,28.702110,116.695602,yugan
876,信丰,360722,XF,25.386169,114.922852,xinfeng
877,于都,360731,YD,25.951839,115.415443,yudu
878,玉山,361123,YS,28.681940,118.244812,yushan
879,铅山,361124,YS,28.315350,117.709419,yanshan
880,瑞金,360781,RJ,25.885620,116.027092,ruijin
881,宁都,360730,ND,26.470190,116.009407,ningdu
882,会昌,360733,HC,25.600389,115.786003,huichang
883,修水,360424,XS,29.025330,114.546883,xiushui
884,浮梁,360222,FL,29.351589,117.215233,fuliang
885,贵溪,360681,GX,28.292521,117.245247,guixi
886,永新,360830,YX,26.944981,114.243073,yongxin
887,进贤,360124,JX,28.376789,116.242493,jinxian
888,吉水,360822,JS,27.229759,115.135498,jishui
889,上栗,360322,SL,27.880421,113.795372,shangli
890,兴国,360732,XG,26.337790,115.363136,xingguo
891,永修,360425,YX,29.020969,115.809158,yongxiu
892,赣县,360721,GX,25.860620,115.011749,ganxian
893,樟树,360982,ZS,28.055889,115.546150,zhangshu
894,泰和,360826,TH,26.789930,114.908867,taihe
895,东乡,361029,DX,28.247709,116.603340,dongxiang
896,都昌,360428,DC,29.273069,116.204086,duchang
897,龙南,360727,LN,24.911051,114.789932,longnan
899,庄河,210283,ZH,39.680370,122.966110,zhuanghe
900,普兰店,210282,PLD,39.394428,121.963226,pulandian
901,大石桥,210882,DSQ,40.644482,122.509171,dashiqiao
902,东港,210681,DG,39.861721,124.152092,donggang
903,开原,211282,KY,42.546452,124.038200,kaiyuan
904,凤城,210682,FC,40.452789,124.066048,fengcheng
905,大洼,211121,DW,41.002468,122.082451,dawa
906,盖州,210881,GZ,40.400532,122.348801,gaizhou
907,新民,210181,XM,41.997669,122.828003,xinmin
908,黑山,210726,HS,41.693909,122.120659,heishan
909,凌源,211382,LY,41.245480,119.401337,lingyuan
910,绥中,211421,SZ,40.325649,120.344307,suizhong
911,昌图,211224,CT,42.786129,124.110924,changtu
912,兴城,211481,XC,40.610191,120.756187,xingcheng
913,调兵山,211281,TBS,42.467548,123.566902,tiaobingshan
914,巴彦淖尔,150800,BYNE,40.743172,107.387733,bayannaoer
915,牙克石,150782,YKS,49.285629,120.711739,yakeshi
916,乌兰浩特,152201,WLHT,46.072819,122.093163,wulanhaote
917,满洲里,150781,MZL,49.596550,117.378357,manzhouli
918,准格尔,150622,ZGE,39.864262,111.239868,zhungeer
919,达拉特,150621,DLT,40.400162,110.032928,dalate
920,锡林浩特,152502,XLHT,43.933392,116.086082,xilinhaote
921,石嘴山,640200,SZS,38.984100,106.384178,shizuishan
922,格尔木,632801,GEM,33.660332,90.000000,geermu
923,滕州,370481,TZ,35.113380,117.165962,tengzhou
924,新泰,370982,XT,35.908779,117.767998,xintai
925,诸城,370782,ZC,35.995831,119.409828,zhucheng
926,章丘,370181,ZQ,36.679680,117.525780,zhangqiu
927,邹城,370883,ZC,35.405220,117.003853,zoucheng
929,高密,370785,GM,36.382568,119.755676,gaomi
930,沂水,371323,YS,35.790340,118.627823,yishui
931,曹县,371721,CX,34.825531,115.542137,caoxian
932,寿光,370783,SG,36.855412,118.790977,shouguang
933,平度,370283,PD,36.786701,119.959938,pingdu
934,费县,371325,FX,35.266590,117.977112,feixian
935,肥城,370983,FC,36.182449,116.769173,feicheng
936,郓城,371725,YC,35.599838,115.943642,yuncheng
937,单县,371722,DX,34.794380,116.087242,danxian
938,兰陵,371324,LL,34.857288,118.070717,lanling
939,邹平,371626,ZP,36.862991,117.743088,zouping
940,胶州,370281,JZ,36.264450,120.033539,jiaozhou
941,沂南,371321,YN,35.550011,118.465660,yinan
942,郯城,371322,TC,34.613571,118.367172,tancheng
